f1,f2,f3,f4,f5,f6,f7,f8,f9,label
0.5,0.69,0.82,0.38,0.91,0.53,0.6,0.86,0.39,1
0.68,0.37,0.3,0.93,0.56,0.74,0.46,0.67,0.31,0
0.25,0.87,0.7,0.5,0.84,0.33,0.95,0.58,0.75,1
0.87,0.22,0.6,0.79,0.28,0.68,0.53,0.4,0.62,0
0.42,0.75,0.92,0.36,0.89,0.61,0.8,0.97,0.28,1
0.72,0.31,0.26,0.91,0.5,0.7,0.37,0.62,0.52,0
0.3,0.82,0.65,0.6,0.78,0.2,0.93,0.47,0.86,1
0.91,0.27,0.51,0.87,0.35,0.84,0.7,0.73,0.23,0
0.54,0.7,0.84,0.4,0.93,0.55,0.62,0.88,0.41,1
0.66,0.38,0.32,0.94,0.57,0.73,0.48,0.69,0.33,0
0.27,0.88,0.72,0.52,0.85,0.34,0.96,0.6,0.77,1
0.88,0.24,0.62,0.78,0.29,0.69,0.54,0.42,0.64,0
0.44,0.76,0.94,0.37,0.9,0.63,0.82,0.98,0.3,1
0.73,0.32,0.28,0.92,0.51,0.72,0.38,0.63,0.54,0
0.29,0.83,0.67,0.61,0.8,0.21,0.94,0.49,0.88,1
0.92,0.26,0.53,0.88,0.36,0.85,0.71,0.74,0.25,0
0.56,0.71,0.86,0.42,0.95,0.57,0.64,0.89,0.43,1
0.65,0.39,0.34,0.95,0.58,0.74,0.49,0.7,0.35,0
0.28,0.89,0.74,0.53,0.86,0.35,0.97,0.61,0.79,1
0.89,0.25,0.63,0.79,0.3,0.7,0.55,0.43,0.66,0
0.45,0.77,0.95,0.38,0.91,0.64,0.83,0.99,0.32,1
0.74,0.33,0.29,0.93,0.52,0.73,0.39,0.64,0.56,0
0.31,0.84,0.68,0.62,0.81,0.22,0.95,0.5,0.9,1
0.93,0.27,0.54,0.89,0.37,0.86,0.72,0.75,0.26,0
